date,city,temperature_c,humidity_percent,electricity_units_kwh,household_size,income_level,power_outage_hours,year,month,day,day_of_week,is_weekend,lag_1,lag_7,lag_30,rolling_mean_7,rolling_mean_30
2022-04-05,1,44.5,88,16.33,3,1,0.88,2022,4,5,1,0,19.5,17.83,27.08,18.06,18.95633333333333
2022-04-06,0,25.2,42,25.65,4,1,0.07,2022,4,6,2,0,16.33,15.07,9.24,19.571428571428573,19.50333333333333
2022-04-07,4,42.2,85,14.1,7,1,0.02,2022,4,7,3,0,25.65,11.49,21.41,19.944285714285712,19.259666666666664
2022-04-08,2,31.4,75,26.66,4,2,3.82,2022,4,8,4,0,14.1,19.66,18.38,20.944285714285716,19.535666666666664
2022-04-09,2,25.4,32,15.99,3,2,0.21,2022,4,9,5,1,26.66,22.95,24.59,19.95,19.249
2022-04-10,1,26.6,39,17.49,3,0,0.89,2022,4,10,6,1,15.99,21.42,24.82,19.388571428571428,19.004666666666665
2022-04-11,3,27.8,67,13.2,6,2,2.53,2022,4,11,0,0,17.49,19.5,17.75,18.488571428571426,18.853
2022-04-12,1,33.0,30,18.99,8,0,3.3,2022,4,12,1,0,13.2,16.33,17.73,18.868571428571425,18.895
2022-04-13,3,33.7,84,27.85,5,1,1.1,2022,4,13,2,0,18.99,25.65,21.34,19.18285714285714,19.112
2022-04-14,2,26.0,85,25.09,2,2,1.25,2022,4,14,3,0,27.85,14.1,16.62,20.752857142857142,19.394333333333332
2022-04-15,1,29.8,56,27.87,2,1,1.66,2022,4,15,4,0,25.09,26.66,27.05,20.925714285714285,19.421666666666667
2022-04-16,4,45.0,75,25.13,4,1,4.88,2022,4,16,5,1,27.87,15.99,19.78,22.23142857142857,19.6
2022-04-17,0,42.1,37,15.38,6,1,1.38,2022,4,17,6,1,25.13,17.49,4.56,21.930000000000003,19.960666666666665
2022-04-18,3,33.1,80,20.02,4,1,1.23,2022,4,18,0,0,15.38,13.2,19.75,22.904285714285713,19.969666666666665
2022-04-19,0,30.3,75,17.32,2,2,0.02,2022,4,19,1,0,20.02,18.99,15.77,22.66571428571429,20.021333333333335
2022-04-20,0,30.8,71,29.98,8,1,0.13,2022,4,20,2,0,17.32,27.85,12.21,22.97,20.613666666666667
2022-04-21,1,34.3,46,14.82,8,0,1.29,2022,4,21,3,0,29.98,25.09,14.58,21.502857142857145,20.621666666666666
2022-04-22,0,22.8,38,27.36,8,2,4.13,2022,4,22,4,0,14.82,27.87,22.66,21.430000000000003,20.77833333333333
2022-04-23,4,28.2,35,27.36,3,1,3.02,2022,4,23,5,1,27.36,25.13,29.97,21.74857142857143,20.691333333333333
2022-04-24,0,18.3,72,32.98,5,2,6.08,2022,4,24,6,1,27.36,15.38,23.88,24.262857142857143,20.994666666666667
2022-04-25,1,32.8,54,19.54,6,0,1.13,2022,4,25,0,0,32.98,20.02,18.36,24.194285714285712,21.034
2022-04-26,4,34.5,68,26.27,3,1,2.33,2022,4,26,1,0,19.54,17.32,24.74,25.472857142857144,21.084999999999997
2022-04-27,2,26.6,78,35.69,5,0,2.75,2022,4,27,2,0,26.27,29.98,19.25,26.28857142857143,21.633
2022-04-28,0,41.0,89,18.29,6,1,1.57,2022,4,28,3,0,35.69,14.82,17.83,26.784285714285712,21.64833333333333
2022-04-29,1,21.4,57,12.79,6,0,0.62,2022,4,29,4,0,18.29,27.36,15.07,24.702857142857145,21.572333333333336
2022-04-30,2,19.7,62,10.72,2,1,0.95,2022,4,30,5,1,12.79,27.36,11.49,22.325714285714287,21.546666666666667
2022-05-01,2,31.6,83,26.28,3,2,2.93,2022,5,1,6,1,10.72,32.98,19.66,21.368571428571425,21.767333333333337
2022-05-02,3,37.3,66,10.7,6,1,0.53,2022,5,2,0,0,26.28,19.54,22.95,20.10571428571429,21.358999999999998
2022-05-03,4,41.8,38,19.77,7,2,3.86,2022,5,3,1,0,10.7,26.27,21.42,19.177142857142858,21.304
2022-05-04,0,26.8,47,24.62,8,1,0.39,2022,5,4,2,0,19.77,35.69,19.5,17.595714285714287,21.474666666666668
2022-05-05,1,37.6,85,23.11,6,1,2.08,2022,5,5,3,0,24.62,18.29,16.33,18.284285714285712,21.700666666666667
2022-05-06,3,29.7,88,24.55,5,0,1.49,2022,5,6,4,0,23.11,12.79,25.65,19.964285714285715,21.664
2022-05-07,4,28.8,50,23.33,2,0,2.08,2022,5,7,5,1,24.55,10.72,14.1,21.76571428571429,21.971666666666668
2022-05-08,3,36.2,31,29.67,4,0,0.86,2022,5,8,6,1,23.33,26.28,26.66,22.25,22.072000000000003
2022-05-09,4,34.6,87,16.29,8,1,4.05,2022,5,9,0,0,29.67,10.7,15.99,23.048571428571428,22.082
2022-05-10,4,19.0,72,17.94,2,1,1.5,2022,5,10,1,0,16.29,19.77,17.49,22.787142857142857,22.096999999999998
2022-05-11,0,40.3,88,17.36,4,1,0.51,2022,5,11,2,0,17.94,24.62,13.2,21.75,22.235666666666663
2022-05-12,4,39.7,89,26.98,3,2,1.53,2022,5,12,3,0,17.36,23.11,18.99,22.302857142857142,22.502
2022-05-13,3,25.6,67,27.4,3,2,0.51,2022,5,13,4,0,26.98,24.55,27.85,22.71,22.487000000000002
2022-05-14,4,32.8,87,24.71,6,1,0.52,2022,5,14,5,1,27.4,23.33,25.09,22.907142857142855,22.474333333333334
2022-05-15,0,33.5,69,29.1,7,0,0.77,2022,5,15,6,1,24.71,29.67,27.87,22.825714285714287,22.515333333333334
2022-05-16,0,31.8,65,14.93,3,0,2.87,2022,5,16,0,0,29.1,16.29,25.13,22.631428571428575,22.175333333333334
2022-05-17,3,26.1,79,32.0,6,0,1.04,2022,5,17,1,0,14.93,17.94,15.38,24.640000000000004,22.729333333333333
2022-05-18,2,25.3,89,31.14,8,1,1.7,2022,5,18,2,0,32.0,17.36,20.02,26.608571428571427,23.1
2022-05-19,2,29.8,72,26.41,2,0,0.75,2022,5,19,3,0,31.14,26.98,17.32,26.527142857142856,23.403000000000002
2022-05-20,4,38.2,66,32.69,3,1,0.46,2022,5,20,4,0,26.41,27.4,29.98,27.282857142857146,23.493333333333332
2022-05-21,1,33.8,44,12.06,2,2,4.64,2022,5,21,5,1,32.69,24.71,14.82,25.475714285714282,23.401333333333337
2022-05-22,4,27.4,57,18.85,2,0,1.39,2022,5,22,6,1,12.06,29.1,27.36,24.011428571428574,23.11766666666667
2022-05-23,3,35.4,47,17.59,7,2,4.08,2022,5,23,0,0,18.85,14.93,27.36,24.391428571428573,22.791999999999998
2022-05-24,3,10.1,63,26.33,3,0,0.34,2022,5,24,1,0,17.59,32.0,32.98,23.58142857142857,22.570333333333334
2022-05-25,3,38.0,51,15.7,2,1,0.24,2022,5,25,2,0,26.33,31.14,19.54,21.375714285714285,22.442333333333334
2022-05-26,3,17.8,40,26.54,7,1,2.91,2022,5,26,3,0,15.7,26.41,26.27,21.39428571428571,22.451333333333334
2022-05-27,3,27.5,87,30.22,7,1,1.71,2022,5,27,4,0,26.54,32.69,35.69,21.041428571428572,22.269000000000002
2022-05-28,0,22.2,86,26.17,3,1,0.31,2022,5,28,5,1,30.22,12.06,18.29,23.057142857142857,22.53166666666667
2022-05-29,2,20.9,42,23.7,7,0,0.47,2022,5,29,6,1,26.17,18.85,12.79,23.75,22.895333333333333
2022-05-30,3,38.1,33,16.07,3,2,2.42,2022,5,30,0,0,23.7,17.59,10.72,23.532857142857143,23.073666666666668
2022-05-31,1,26.7,51,16.92,3,1,0.91,2022,5,31,1,0,16.07,26.33,26.28,22.18857142857143,22.761666666666663
2022-06-01,1,32.4,36,29.5,4,0,1.67,2022,6,1,2,0,16.92,15.7,10.7,24.16,23.388333333333332
2022-06-02,1,29.7,72,26.68,2,2,0.57,2022,6,2,3,0,29.5,26.54,19.77,24.180000000000003,23.61866666666667
2022-06-03,1,33.3,83,21.77,5,1,0.72,2022,6,3,4,0,26.68,30.22,24.62,22.972857142857144,23.523666666666667
2022-06-04,0,30.5,53,19.49,3,2,7.02,2022,6,4,5,1,21.77,26.17,23.11,22.018571428571427,23.403000000000002
2022-06-05,1,21.0,33,9.85,2,1,0.43,2022,6,5,6,1,19.49,23.7,24.55,20.04,22.913
2022-06-06,3,37.0,57,15.57,8,2,1.06,2022,6,6,0,0,9.85,16.07,23.33,19.96857142857143,22.654333333333334
2022-06-07,4,26.5,44,33.47,7,2,2.79,2022,6,7,1,0,15.57,16.92,29.67,22.33285714285714,22.781
2022-06-08,1,19.1,30,14.32,6,1,0.41,2022,6,8,2,0,33.47,29.5,16.29,20.16428571428571,22.715333333333334
2022-06-09,0,27.0,84,23.14,3,0,0.8,2022,6,9,3,0,14.32,26.68,17.94,19.65857142857143,22.88866666666667
2022-06-10,0,40.5,32,28.04,7,2,1.43,2022,6,10,4,0,23.14,21.77,17.36,20.554285714285715,23.244666666666667
2022-06-11,1,36.0,43,14.47,7,1,0.98,2022,6,11,5,1,28.04,19.49,26.98,19.837142857142855,22.82766666666667
2022-06-12,4,27.6,67,23.11,7,2,0.92,2022,6,12,6,1,14.47,9.85,27.4,21.731428571428573,22.68466666666667
2022-06-13,1,27.6,79,27.63,7,2,0.68,2022,6,13,0,0,23.11,15.57,24.71,23.454285714285714,22.782
2022-06-14,0,27.7,86,22.07,7,0,1.33,2022,6,14,1,0,27.63,33.47,29.1,21.825714285714287,22.547666666666665
2022-06-15,2,44.5,30,39.21,3,2,1.47,2022,6,15,2,0,22.07,14.32,14.93,25.381428571428568,23.357000000000003
2022-06-16,3,32.7,67,11.99,8,2,1.59,2022,6,16,3,0,39.21,23.14,32.0,23.78857142857143,22.69
2022-06-17,0,33.0,67,28.35,5,1,0.11,2022,6,17,4,0,11.99,28.04,31.14,23.832857142857144,22.597
2022-06-18,1,37.2,50,20.96,4,1,1.5,2022,6,18,5,1,28.35,14.47,26.41,24.76,22.41533333333333
2022-06-19,3,31.7,77,26.63,7,0,4.59,2022,6,19,6,1,20.96,23.11,32.69,25.262857142857143,22.21333333333333
2022-06-20,1,28.2,58,24.65,7,2,1.17,2022,6,20,0,0,26.63,27.63,12.06,24.837142857142858,22.633
2022-06-21,1,28.6,34,17.6,4,2,1.88,2022,6,21,1,0,24.65,22.07,18.85,24.19857142857143,22.59133333333333
2022-06-22,2,29.5,78,23.37,8,2,1.22,2022,6,22,2,0,17.6,39.21,17.59,21.935714285714287,22.784
2022-06-23,3,29.7,39,10.85,8,0,2.89,2022,6,23,3,0,23.37,11.99,26.33,21.77285714285714,22.267999999999997
2022-06-24,3,35.1,57,25.62,3,2,3.98,2022,6,24,4,0,10.85,28.35,15.7,21.382857142857144,22.598666666666663
2022-06-25,2,30.4,50,23.79,2,1,0.31,2022,6,25,5,1,25.62,20.96,26.54,21.787142857142857,22.507
2022-06-26,0,35.1,79,25.83,6,0,0.86,2022,6,26,6,1,23.79,26.63,30.22,21.67285714285714,22.360666666666663
2022-06-27,1,29.4,36,28.35,6,1,0.75,2022,6,27,0,0,25.83,24.65,26.17,22.201428571428572,22.433333333333334
2022-06-28,4,30.6,32,24.21,2,1,0.78,2022,6,28,1,0,28.35,17.6,23.7,23.145714285714288,22.450333333333333
2022-06-29,1,16.0,74,22.89,3,0,0.2,2022,6,29,2,0,24.21,23.37,16.07,23.07714285714286,22.677666666666667
2022-06-30,1,36.4,76,16.71,6,1,2.52,2022,6,30,3,0,22.89,10.85,16.92,23.914285714285715,22.670666666666666
2022-07-01,0,32.4,49,17.73,8,2,0.05,2022,7,1,4,0,16.71,25.62,29.5,22.78714285714286,22.278333333333332
2022-07-02,1,37.0,48,29.12,4,0,1.13,2022,7,2,5,1,17.73,23.79,26.68,23.54857142857143,22.359666666666666
2022-07-03,2,9.7,64,30.62,2,1,1.63,2022,7,3,6,1,29.12,25.83,21.77,24.232857142857142,22.654666666666667
2022-07-04,2,44.6,33,20.57,8,2,0.35,2022,7,4,0,0,30.62,28.35,19.49,23.121428571428574,22.69066666666667
2022-07-05,3,29.0,34,22.28,5,2,3.54,2022,7,5,1,0,20.57,24.21,9.85,22.845714285714287,23.105
2022-07-06,4,37.8,30,16.57,3,1,2.74,2022,7,6,2,0,22.28,22.89,15.57,21.942857142857147,23.138333333333335
2022-07-07,1,22.7,33,29.04,2,2,0.96,2022,7,7,3,0,16.57,16.71,33.47,23.704285714285714,22.990666666666666
2022-07-08,1,34.3,41,25.99,6,0,0.79,2022,7,8,4,0,29.04,17.73,14.32,24.884285714285713,23.379666666666665
2022-07-09,0,22.6,89,33.65,3,1,0.4,2022,7,9,5,1,25.99,29.12,23.14,25.531428571428567,23.73
2022-07-10,2,25.6,56,16.73,4,2,1.96,2022,7,10,6,1,33.65,30.62,28.04,23.54714285714286,23.353
2022-07-11,4,43.4,85,19.73,3,2,0.21,2022,7,11,0,0,16.73,20.57,14.47,23.427142857142854,23.528333333333332
2022-07-12,3,28.7,71,23.39,3,1,1.71,2022,7,12,1,0,19.73,22.28,23.11,23.585714285714285,23.537666666666667
2022-07-13,2,31.5,52,25.88,4,1,2.77,2022,7,13,2,0,23.39,16.57,27.63,24.915714285714284,23.479333333333333
2022-07-14,3,36.1,54,20.71,7,1,0.39,2022,7,14,3,0,25.88,29.04,22.07,23.725714285714286,23.434000000000005
2022-07-15,0,33.5,50,16.76,4,1,3.02,2022,7,15,4,0,20.71,25.99,39.21,22.407142857142855,22.68566666666667
2022-07-16,0,31.1,87,27.29,8,0,0.05,2022,7,16,5,1,16.76,33.65,11.99,21.49857142857143,23.195666666666668
2022-07-17,1,32.6,81,26.33,3,1,3.66,2022,7,17,6,1,27.29,16.73,28.35,22.87,23.128333333333334
2022-07-18,4,46.8,53,16.5,4,0,0.19,2022,7,18,0,0,26.33,19.73,20.96,22.408571428571427,22.97966666666667
2022-07-19,3,29.6,54,30.13,7,0,1.56,2022,7,19,1,0,16.5,23.39,26.63,23.37142857142857,23.096333333333337
2022-07-20,2,31.4,74,29.02,8,1,0.43,2022,7,20,2,0,30.13,25.88,24.65,23.82,23.242
2022-07-21,0,37.4,84,22.81,2,0,2.72,2022,7,21,3,0,29.02,20.71,17.6,24.12,23.415666666666667
2022-07-22,1,37.7,75,22.48,4,1,1.08,2022,7,22,4,0,22.81,16.76,23.37,24.937142857142852,23.386000000000003
2022-07-23,1,38.3,61,25.32,4,1,0.22,2022,7,23,5,1,22.48,27.29,10.85,24.655714285714282,23.868333333333336
2022-07-24,3,34.5,84,16.83,3,2,1.27,2022,7,24,6,1,25.32,26.33,25.62,23.298571428571428,23.575333333333333
2022-07-25,0,22.0,61,22.18,8,1,0.79,2022,7,25,0,0,16.83,16.5,23.79,24.110000000000003,23.52166666666667
2022-07-26,4,41.4,34,9.09,2,2,1.62,2022,7,26,1,0,22.18,30.13,25.83,21.104285714285716,22.963666666666665
2022-07-27,0,22.0,65,27.26,5,0,3.2,2022,7,27,2,0,9.09,29.02,28.35,20.852857142857143,22.92733333333333
2022-07-28,3,32.1,75,12.63,5,2,0.79,2022,7,28,3,0,27.26,22.81,24.21,19.398571428571426,22.541333333333334
2022-07-29,3,24.7,71,31.02,6,0,0.51,2022,7,29,4,0,12.63,22.48,22.89,20.618571428571432,22.812333333333335
2022-07-30,0,29.6,78,20.02,4,1,0.02,2022,7,30,5,1,31.02,25.32,16.71,19.861428571428572,22.922666666666668
2022-07-31,3,32.3,71,20.73,4,0,1.28,2022,7,31,6,1,20.02,16.83,17.73,20.41857142857143,23.02266666666667
2022-08-01,0,32.2,87,18.23,2,0,0.77,2022,8,1,0,0,20.73,22.18,29.12,19.854285714285712,22.65966666666667
2022-08-02,2,33.0,68,20.27,7,1,0.7,2022,8,2,1,0,18.23,9.09,30.62,21.451428571428572,22.314666666666668
2022-08-03,0,41.3,45,30.51,5,0,0.3,2022,8,3,2,0,20.27,27.26,20.57,21.915714285714284,22.646
2022-08-04,0,33.2,62,7.07,6,1,0.84,2022,8,4,3,0,30.51,12.63,22.28,21.12142857142857,22.139
2022-08-05,3,28.3,78,29.66,2,2,6.24,2022,8,5,4,0,7.07,31.02,16.57,20.927142857142858,22.575333333333333
2022-08-06,3,36.7,50,24.03,4,1,0.53,2022,8,6,5,1,29.66,20.02,29.04,21.5,22.408333333333335
2022-08-07,1,38.3,38,14.76,5,1,1.37,2022,8,7,6,1,24.03,20.73,25.99,20.647142857142857,22.034
2022-08-08,1,21.4,35,15.55,8,0,2.25,2022,8,8,0,0,14.76,18.23,33.65,20.264285714285712,21.430666666666664
2022-08-09,2,34.2,80,32.06,6,2,2.07,2022,8,9,1,0,15.55,20.27,16.73,21.948571428571427,21.941666666666666
2022-08-10,1,34.9,74,16.33,3,1,0.6,2022,8,10,2,0,32.06,30.51,19.73,19.922857142857143,21.82833333333333
2022-08-11,0,27.9,64,15.08,5,2,1.42,2022,8,11,3,0,16.33,7.07,23.39,21.067142857142862,21.551333333333332
2022-08-12,3,39.6,68,28.82,6,2,3.07,2022,8,12,4,0,15.08,29.66,25.88,20.947142857142858,21.649333333333335
2022-08-13,1,28.9,51,24.03,2,0,0.02,2022,8,13,5,1,28.82,24.03,20.71,20.947142857142858,21.759999999999998
2022-08-14,1,30.9,70,16.37,3,1,0.86,2022,8,14,6,1,24.03,14.76,16.76,21.177142857142858,21.747
2022-08-15,2,28.8,83,23.3,6,0,0.38,2022,8,15,0,0,16.37,15.55,27.29,22.284285714285716,21.613999999999997
2022-08-16,2,30.1,34,15.85,6,1,0.74,2022,8,16,1,0,23.3,32.06,26.33,19.96857142857143,21.264666666666663
2022-08-17,0,22.3,71,28.6,4,2,0.81,2022,8,17,2,0,15.85,16.33,16.5,21.72142857142857,21.668
2022-08-18,3,19.9,52,28.37,7,1,2.06,2022,8,18,3,0,28.6,15.08,30.13,23.62,21.609333333333332
2022-08-19,2,41.2,46,25.19,5,1,0.15,2022,8,19,4,0,28.37,28.82,29.02,23.101428571428574,21.481666666666666
2022-08-20,1,24.1,41,24.17,4,2,1.08,2022,8,20,5,1,25.19,24.03,22.81,23.12142857142857,21.527
2022-08-21,3,23.1,52,32.57,8,2,1.25,2022,8,21,6,1,24.17,16.37,22.48,25.435714285714287,21.863333333333333
2022-08-22,3,14.9,45,22.0,3,1,1.02,2022,8,22,0,0,32.57,23.3,25.32,25.25,21.752666666666663
2022-08-23,1,25.5,32,14.91,7,0,1.97,2022,8,23,1,0,22.0,15.85,16.83,25.11571428571429,21.68866666666667
2022-08-24,2,20.7,59,24.7,6,1,0.73,2022,8,24,2,0,14.91,28.6,22.18,24.55857142857143,21.772666666666666
2022-08-25,1,41.5,86,34.52,4,2,4.35,2022,8,25,3,0,24.7,28.37,9.09,25.437142857142856,22.620333333333335
2022-08-26,3,37.1,51,15.91,7,0,0.99,2022,8,26,4,0,34.52,25.19,27.26,24.111428571428572,22.242
2022-08-27,4,25.2,38,19.83,8,2,1.27,2022,8,27,5,1,15.91,24.17,12.63,23.49142857142857,22.481999999999996
2022-08-28,4,45.8,58,24.5,5,2,2.62,2022,8,28,6,1,19.83,32.57,31.02,22.33857142857143,22.264666666666663
2022-08-29,0,36.9,76,21.68,8,0,0.48,2022,8,29,0,0,24.5,22.0,20.02,22.292857142857144,22.32
2022-08-30,1,27.7,66,16.11,3,2,0.12,2022,8,30,1,0,21.68,14.91,20.73,22.464285714285715,22.166
2022-08-31,1,12.5,52,28.73,2,2,1.85,2022,8,31,2,0,16.11,24.7,18.23,23.04,22.516000000000002
