date,city,temperature_c,humidity_percent,electricity_units_kwh,household_size,income_level,power_outage_hours
2022-06-05,1,21.0,33,9.85,2,1,0.43
2022-06-06,3,37.0,57,15.57,8,2,1.06
2022-06-07,4,26.5,44,33.47,7,2,2.79
2022-06-08,1,19.1,30,14.32,6,1,0.41
2022-06-09,0,27.0,84,23.14,3,0,0.8
2022-06-10,0,40.5,32,28.04,7,2,1.43
2022-06-11,1,36.0,43,14.47,7,1,0.98
2022-06-12,4,27.6,67,23.11,7,2,0.92
2022-06-13,1,27.6,79,27.63,7,2,0.68
2022-06-14,0,27.7,86,22.07,7,0,1.33
2022-06-15,2,44.5,30,39.21,3,2,1.47
2022-06-16,3,32.7,67,11.99,8,2,1.59
2022-06-17,0,33.0,67,28.35,5,1,0.11
2022-06-18,1,37.2,50,20.96,4,1,1.5
2022-06-19,3,31.7,77,26.63,7,0,4.59
2022-06-20,1,28.2,58,24.65,7,2,1.17
2022-06-21,1,28.6,34,17.6,4,2,1.88
2022-06-22,2,29.5,78,23.37,8,2,1.22
2022-06-23,3,29.7,39,10.85,8,0,2.89
2022-06-24,3,35.1,57,25.62,3,2,3.98
2022-06-25,2,30.4,50,23.79,2,1,0.31
2022-06-26,0,35.1,79,25.83,6,0,0.86
2022-06-27,1,29.4,36,28.35,6,1,0.75
2022-06-28,4,30.6,32,24.21,2,1,0.78
2022-06-29,1,16.0,74,22.89,3,0,0.2
2022-06-30,1,36.4,76,16.71,6,1,2.52
2022-07-01,0,32.4,49,17.73,8,2,0.05
2022-07-02,1,37.0,48,29.12,4,0,1.13
2022-07-03,2,9.7,64,30.62,2,1,1.63
2022-07-04,2,44.6,33,20.57,8,2,0.35
2022-07-05,3,29.0,34,22.28,5,2,3.54
2022-07-06,4,37.8,30,16.57,3,1,2.74
2022-07-07,1,22.7,33,29.04,2,2,0.96
2022-07-08,1,34.3,41,25.99,6,0,0.79
2022-07-09,0,22.6,89,33.65,3,1,0.4
2022-07-10,2,25.6,56,16.73,4,2,1.96
2022-07-11,4,43.4,85,19.73,3,2,0.21
2022-07-12,3,28.7,71,23.39,3,1,1.71
2022-07-13,2,31.5,52,25.88,4,1,2.77
2022-07-14,3,36.1,54,20.71,7,1,0.39
2022-07-15,0,33.5,50,16.76,4,1,3.02
2022-07-16,0,31.1,87,27.29,8,0,0.05
2022-07-17,1,32.6,81,26.33,3,1,3.66
2022-07-18,4,46.8,53,16.5,4,0,0.19
2022-07-19,3,29.6,54,30.13,7,0,1.56
2022-07-20,2,31.4,74,29.02,8,1,0.43
2022-07-21,0,37.4,84,22.81,2,0,2.72
2022-07-22,1,37.7,75,22.48,4,1,1.08
2022-07-23,1,38.3,61,25.32,4,1,0.22
2022-07-24,3,34.5,84,16.83,3,2,1.27
2022-07-25,0,22.0,61,22.18,8,1,0.79
2022-07-26,4,41.4,34,9.09,2,2,1.62
2022-07-27,0,22.0,65,27.26,5,0,3.2
2022-07-28,3,32.1,75,12.63,5,2,0.79
2022-07-29,3,24.7,71,31.02,6,0,0.51
2022-07-30,0,29.6,78,20.02,4,1,0.02
2022-07-31,3,32.3,71,20.73,4,0,1.28
2022-08-01,0,32.2,87,18.23,2,0,0.77
2022-08-02,2,33.0,68,20.27,7,1,0.7
2022-08-03,0,41.3,45,30.51,5,0,0.3
2022-08-04,0,33.2,62,7.07,6,1,0.84
2022-08-05,3,28.3,78,29.66,2,2,6.24
2022-08-06,3,36.7,50,24.03,4,1,0.53
2022-08-07,1,38.3,38,14.76,5,1,1.37
2022-08-08,1,21.4,35,15.55,8,0,2.25
2022-08-09,2,34.2,80,32.06,6,2,2.07
2022-08-10,1,34.9,74,16.33,3,1,0.6
2022-08-11,0,27.9,64,15.08,5,2,1.42
2022-08-12,3,39.6,68,28.82,6,2,3.07
2022-08-13,1,28.9,51,24.03,2,0,0.02
2022-08-14,1,30.9,70,16.37,3,1,0.86
2022-08-15,2,28.8,83,23.3,6,0,0.38
2022-08-16,2,30.1,34,15.85,6,1,0.74
2022-08-17,0,22.3,71,28.6,4,2,0.81
2022-08-18,3,19.9,52,28.37,7,1,2.06
2022-08-19,2,41.2,46,25.19,5,1,0.15
2022-08-20,1,24.1,41,24.17,4,2,1.08
2022-08-21,3,23.1,52,32.57,8,2,1.25
2022-08-22,3,14.9,45,22.0,3,1,1.02
2022-08-23,1,25.5,32,14.91,7,0,1.97
2022-08-24,2,20.7,59,24.7,6,1,0.73
2022-08-25,1,41.5,86,34.52,4,2,4.35
2022-08-26,3,37.1,51,15.91,7,0,0.99
2022-08-27,4,25.2,38,19.83,8,2,1.27
2022-08-28,4,45.8,58,24.5,5,2,2.62
2022-08-29,0,36.9,76,21.68,8,0,0.48
2022-08-30,1,27.7,66,16.11,3,2,0.12
2022-08-31,1,12.5,52,28.73,2,2,1.85
2022-09-01,0,46.0,42,35.92,4,2,0.99
2022-09-02,0,20.3,61,23.18,3,2,3.4
2022-09-03,0,18.5,75,16.58,2,2,6.08
2022-09-04,3,37.2,81,12.71,4,2,0.76
2022-09-05,1,47.1,76,23.55,3,2,0.81
2022-09-06,3,39.7,77,28.62,8,2,0.79
2022-09-07,0,33.9,52,24.85,3,2,0.59
2022-09-08,1,34.2,74,21.99,7,1,2.28
2022-09-09,3,36.0,46,18.46,8,1,2.13
2022-09-10,3,35.3,84,15.45,4,2,0.98
2022-09-11,0,32.0,69,27.01,3,1,0.07
2022-09-12,1,30.7,50,27.48,6,0,0.56
2022-09-13,0,29.6,31,12.73,4,1,0.52
2022-09-14,1,24.7,66,31.54,3,2,2.5
2022-09-15,4,28.0,35,25.44,7,2,0.14
2022-09-16,2,18.1,73,30.4,2,1,2.46
2022-09-17,2,29.3,47,13.95,2,2,1.66
2022-09-18,2,23.1,59,13.81,6,0,1.98
2022-09-19,0,22.3,51,21.11,4,0,0.85
2022-09-20,4,31.3,83,25.02,7,2,1.71
2022-09-21,1,39.7,62,32.78,3,0,1.41
2022-09-22,3,36.4,59,26.24,3,0,2.2
2022-09-23,1,19.0,46,20.54,2,1,0.89
2022-09-24,3,23.1,72,15.84,7,0,0.96
2022-09-25,1,36.6,61,29.38,8,1,1.55
2022-09-26,4,23.1,71,16.21,6,2,0.17
2022-09-27,3,28.4,80,31.77,2,1,0.86
2022-09-28,0,33.9,43,20.29,2,2,5.36
2022-09-29,1,23.2,87,31.54,6,2,0.06
2022-09-30,1,30.7,39,26.07,4,2,0.57
2022-10-01,3,20.7,76,21.18,3,2,0.57
2022-10-02,0,25.8,89,18.88,4,2,1.51
2022-10-03,0,32.2,80,19.95,7,1,0.17
2022-10-04,4,18.8,65,24.57,8,2,1.49
2022-10-05,0,33.1,63,22.46,5,0,0.15
2022-10-06,0,29.9,38,18.44,5,0,0.15
2022-10-07,0,33.9,71,21.01,5,2,1.95
2022-10-08,2,31.6,57,22.47,6,0,0.59
2022-10-09,4,39.5,40,9.23,2,1,5.69
2022-10-10,1,30.9,43,24.75,8,1,0.06
2022-10-11,3,27.0,68,16.12,4,2,0.88
2022-10-12,1,30.9,84,15.08,3,2,0.18
2022-10-13,4,33.8,76,11.88,5,2,0.65
2022-10-14,3,30.3,83,11.24,4,0,9.5
2022-10-15,4,30.3,48,13.87,5,0,3.3
2022-10-16,0,25.1,83,17.75,8,1,0.07
2022-10-17,3,25.4,44,33.72,5,0,1.24
2022-10-18,0,20.2,57,18.84,3,1,1.57
2022-10-19,1,42.2,53,23.07,7,0,0.35
2022-10-20,1,21.3,37,24.4,7,1,0.24
2022-10-21,3,25.1,72,22.79,8,2,3.52
2022-10-22,3,25.0,38,21.54,7,0,5.2
2022-10-23,4,36.3,76,14.83,6,1,7.22
2022-10-24,4,27.9,62,30.71,2,0,2.34
2022-10-25,0,38.7,62,32.84,6,2,1.63
2022-10-26,3,25.3,48,11.9,4,1,0.64
2022-10-27,1,32.0,32,15.86,6,0,0.28
2022-10-28,4,24.2,39,20.32,4,0,0.12
2022-10-29,4,45.0,69,16.21,4,2,1.77
2022-10-30,1,21.7,76,25.04,2,2,2.3
2022-10-31,4,32.2,71,17.63,3,1,2.63
2022-11-01,0,34.4,30,34.99,8,0,3.68
2022-11-02,3,32.9,58,29.14,2,0,3.18
2022-11-03,1,28.7,79,23.28,8,2,12.39
2022-11-04,3,29.1,63,28.16,7,2,0.42
2022-11-05,4,30.3,80,28.64,7,1,2.16
2022-11-06,4,29.0,42,18.62,6,0,1.32
2022-11-07,1,36.7,83,17.1,4,0,0.45
2022-11-08,0,45.5,30,22.47,5,1,6.02
2022-11-09,2,26.1,63,27.17,5,1,3.42
2022-11-10,1,20.4,58,22.83,8,2,0.21
2022-11-11,2,29.4,77,12.54,4,2,0.04
2022-11-12,2,48.1,76,17.18,8,1,1.75
2022-11-13,0,24.4,42,21.56,2,1,1.39
2022-11-14,2,41.5,77,21.55,3,0,4.12
2022-11-15,2,41.7,78,33.84,2,1,0.4
2022-11-16,0,26.1,82,13.68,4,1,0.13
2022-11-17,2,34.0,58,25.03,4,0,0.45
2022-11-18,2,41.4,68,30.93,3,1,0.03
2022-11-19,2,27.3,53,35.63,8,2,0.05
2022-11-20,1,28.6,55,19.57,6,2,3.7
2022-11-21,1,25.9,46,24.95,6,0,0.65
2022-11-22,1,22.9,36,25.42,3,1,0.79
2022-11-23,0,25.5,42,23.17,6,2,0.03
2022-11-24,4,21.4,34,21.41,5,2,0.47
2022-11-25,2,30.2,55,24.62,6,2,2.45
2022-11-26,2,24.6,78,6.81,6,2,1.43
2022-11-27,0,31.6,32,26.09,6,1,2.1
2022-11-28,2,19.1,36,22.76,5,1,0.89
2022-11-29,1,32.3,87,20.67,8,1,0.56
2022-11-30,4,35.8,78,34.28,6,1,0.99
2022-12-01,3,16.0,68,17.95,7,2,0.59
2022-12-02,2,32.6,82,19.58,5,0,2.74
2022-12-03,1,38.6,30,33.95,3,0,0.53
2022-12-04,3,21.5,78,17.01,2,2,1.62
2022-12-05,4,41.7,46,18.7,3,2,0.22
2022-12-06,3,32.9,72,21.12,2,0,1.74
2022-12-07,1,25.1,54,27.04,3,0,3.67
2022-12-08,3,29.6,88,23.25,7,2,1.41
2022-12-09,0,33.9,32,14.24,2,2,1.23
2022-12-10,3,30.5,44,18.81,2,1,4.87
2022-12-11,2,33.8,58,18.36,4,1,1.48
2022-12-12,2,23.6,82,21.54,2,0,0.45
2022-12-13,0,31.2,72,24.56,2,2,0.52
2022-12-14,1,20.1,61,24.51,4,0,1.83
2022-12-15,2,29.2,55,11.34,6,1,1.99
2022-12-16,4,23.7,89,28.38,6,1,0.54
2022-12-17,2,24.9,45,23.52,4,0,0.64
2022-12-18,2,38.7,54,30.31,5,1,7.08
2022-12-19,1,37.6,83,24.67,2,2,0.16
2022-12-20,3,34.3,57,28.61,2,0,0.78
2022-12-21,2,22.4,38,24.8,4,2,0.1
2022-12-22,0,27.8,85,30.08,4,2,2.58
2022-12-23,3,38.5,85,25.13,5,1,0.15
2022-12-24,4,31.0,30,21.41,7,2,1.68
2022-12-25,1,46.2,58,35.63,6,0,0.09
2022-12-26,4,32.8,86,27.33,3,2,1.68
2022-12-27,3,31.3,51,25.44,7,2,2.78
2022-12-28,3,27.8,45,14.34,8,2,0.76
2022-12-29,3,30.9,70,14.27,6,2,1.11
2022-12-30,4,28.9,80,23.76,2,2,0.77
2022-12-31,3,35.0,73,22.87,8,1,0.54
2023-01-01,4,36.7,80,18.32,7,0,2.44
2023-01-02,3,24.5,83,22.85,4,1,0.48
2023-01-03,0,20.7,70,31.53,5,0,1.93
2023-01-04,3,17.1,36,26.17,6,0,0.35
2023-01-05,4,33.6,43,15.15,5,0,0.43
2023-01-06,2,22.3,58,21.33,8,0,0.62
2023-01-07,3,14.9,48,17.17,6,0,1.33
2023-01-08,2,32.7,48,19.67,7,2,0.91
2023-01-09,0,47.5,31,19.52,2,1,2.05
2023-01-10,1,30.0,70,19.13,3,1,0.36
2023-01-11,0,35.9,74,14.47,5,2,0.02
2023-01-12,3,30.6,44,21.23,5,0,2.25
2023-01-13,2,29.3,32,18.64,3,1,2.59
2023-01-14,2,36.4,40,4.42,5,2,0.09
2023-01-15,4,28.0,82,34.32,5,2,1.42
2023-01-16,2,31.9,75,28.53,6,1,0.71
2023-01-17,4,32.3,59,19.74,6,1,2.37
2023-01-18,1,25.3,86,22.11,3,0,3.11
2023-01-19,3,36.9,69,14.97,8,0,2.86
2023-01-20,4,28.8,47,32.17,2,1,2.25
2023-01-21,1,24.7,80,33.38,7,0,0.47
2023-01-22,2,33.8,77,22.94,7,2,2.51
2023-01-23,2,23.7,31,28.14,8,0,1.14
2023-01-24,1,30.2,61,23.05,5,0,0.08
2023-01-25,2,29.9,37,13.98,2,2,0.92
2023-01-26,1,37.6,51,19.53,3,0,4.28
2023-01-27,4,33.3,35,22.79,8,2,3.28
2023-01-28,4,29.8,41,19.27,3,0,0.16
2023-01-29,1,35.7,76,20.69,6,1,2.04
2023-01-30,4,39.7,86,21.45,5,0,2.46
2023-01-31,4,33.9,69,21.51,4,1,0.47
2023-02-01,4,30.1,65,22.31,3,1,0.96
2023-02-02,0,20.8,44,15.64,8,1,1.86
2023-02-03,3,22.5,57,17.7,5,1,0.87
2023-02-04,2,27.9,81,14.29,2,1,0.18
2023-02-05,0,25.7,86,27.87,8,2,1.84
2023-02-06,4,28.7,78,9.37,6,2,3.64
2023-02-07,1,30.4,74,28.92,7,2,1.59
2023-02-08,4,33.7,47,30.32,2,1,2.23
2023-02-09,3,29.5,31,20.19,3,0,0.67
2023-02-10,4,33.4,42,6.38,3,2,0.3
2023-02-11,1,30.5,74,19.83,2,0,1.54
2023-02-12,3,16.2,83,21.61,3,0,0.6
2023-02-13,4,23.4,44,15.94,8,1,2.95
2023-02-14,3,29.0,49,18.91,5,1,0.2
2023-02-15,2,21.5,58,31.18,3,1,0.85
2023-02-16,2,34.2,88,25.99,6,2,0.76
2023-02-17,4,40.7,71,16.45,5,1,4.17
2023-02-18,3,38.5,58,12.41,8,2,0.25
2023-02-19,1,28.5,32,20.04,4,2,0.01
2023-02-20,4,40.4,48,20.72,3,2,0.41
2023-02-21,2,31.0,32,24.98,3,2,2.57
2023-02-22,2,27.6,83,18.79,6,1,0.35
2023-02-23,4,25.7,43,25.07,8,2,0.41
2023-02-24,3,27.9,69,33.61,6,1,0.21
2023-02-25,2,27.3,88,26.89,7,1,1.89
2023-02-26,3,31.2,84,21.71,8,2,0.11
2023-02-27,2,31.1,33,20.9,2,1,0.6
2023-02-28,2,30.0,88,19.86,2,0,0.5
2023-03-01,0,33.1,89,29.08,2,1,1.22
2023-03-02,2,38.3,81,18.24,6,1,1.97
2023-03-03,1,36.6,40,22.27,2,2,1.14
2023-03-04,4,19.6,87,22.31,8,2,4.01
2023-03-05,4,12.1,60,18.99,2,1,4.54
2023-03-06,3,36.5,72,13.77,4,2,0.67
2023-03-07,2,20.4,61,23.94,2,0,2.26
2023-03-08,1,28.4,56,21.63,3,0,2.01
2023-03-09,3,21.8,59,25.0,7,2,3.35
2023-03-10,0,17.4,72,18.8,6,1,0.89
2023-03-11,3,33.8,31,29.32,5,0,1.13
2023-03-12,3,35.3,78,16.74,7,0,0.81
2023-03-13,2,26.0,38,32.27,4,1,2.85
2023-03-14,0,11.9,57,11.51,6,2,0.39
2023-03-15,3,26.2,60,24.61,8,0,0.41
2023-03-16,1,32.7,89,24.85,6,1,0.7
2023-03-17,1,19.6,63,17.23,3,1,0.39
2023-03-18,4,31.3,85,24.55,8,0,1.23
2023-03-19,0,29.9,44,29.68,7,2,0.22
2023-03-20,0,34.1,77,8.7,7,0,0.58
2023-03-21,4,30.8,54,25.02,2,1,3.67
2023-03-22,3,23.2,65,7.04,8,0,0.79
2023-03-23,0,38.4,37,16.21,3,2,2.07
2023-03-24,1,28.9,38,31.77,2,1,0.18
2023-03-25,1,29.8,87,18.51,2,2,0.43
2023-03-26,2,23.5,87,14.96,6,0,2.47
2023-03-27,0,26.9,66,20.81,7,0,2.16
2023-03-28,3,23.8,77,34.41,2,2,0.73
2023-03-29,4,28.8,74,11.01,4,0,4.63
2023-03-30,4,42.0,68,15.69,4,2,3.62
2023-03-31,3,20.4,61,30.98,7,0,4.92
2023-04-01,2,18.7,87,33.15,4,2,0.84
2023-04-02,4,40.3,81,21.38,6,2,0.33
2023-04-03,0,28.5,46,14.57,3,1,1.48
2023-04-04,2,25.3,64,34.58,5,1,1.73
2023-04-05,0,37.3,66,31.57,2,2,0.2
2023-04-06,1,25.8,48,26.07,5,0,2.32
2023-04-07,2,42.8,73,17.13,3,0,0.03
2023-04-08,4,34.7,58,21.71,3,0,0.99
2023-04-09,2,26.6,88,21.04,6,2,0.6
2023-04-10,2,45.1,36,23.99,4,2,2.02
2023-04-11,2,25.8,57,30.71,4,2,0.56
2023-04-12,2,35.2,38,27.28,3,2,2.63
2023-04-13,0,32.1,57,15.54,6,1,1.36
2023-04-14,1,39.1,35,30.26,6,2,2.37
2023-04-15,3,40.9,58,23.88,7,0,6.81
2023-04-16,2,30.2,87,26.12,8,1,1.71
2023-04-17,4,24.7,46,30.8,2,0,6.29
2023-04-18,2,33.2,45,15.33,8,2,0.04
2023-04-19,4,25.3,52,21.79,4,1,0.62
2023-04-20,0,44.1,60,18.81,3,2,0.17
2023-04-21,4,31.0,32,12.59,7,1,0.46
2023-04-22,3,27.4,50,24.08,5,0,2.74
2023-04-23,1,31.3,55,37.07,4,2,0.05
2023-04-24,4,20.6,65,10.96,2,2,1.1
2023-04-25,4,23.2,71,21.81,6,1,1.26
2023-04-26,1,38.4,66,25.84,3,1,1.24
2023-04-27,3,25.4,82,22.74,4,2,0.97
2023-04-28,2,22.7,51,21.32,5,1,2.35
2023-04-29,4,33.8,71,14.2,2,2,0.22
2023-04-30,1,38.3,41,23.4,2,1,0.56
2023-05-01,0,35.0,71,17.46,7,0,1.43
2023-05-02,1,37.0,42,8.86,4,1,1.76
2023-05-03,0,24.7,40,29.17,5,0,0.78
2023-05-04,3,20.0,83,27.75,2,1,3.12
2023-05-05,2,40.5,45,22.31,3,1,0.81
2023-05-06,1,27.7,37,23.37,2,2,0.77
2023-05-07,4,28.2,69,28.45,5,1,0.06
2023-05-08,3,39.3,88,23.35,6,1,1.2
2023-05-09,1,33.9,86,27.42,6,0,1.85
2023-05-10,4,33.2,69,20.22,7,1,0.18
2023-05-11,1,45.2,74,29.87,4,2,0.55
2023-05-12,0,25.5,88,23.92,5,0,2.28
2023-05-13,1,36.5,31,23.16,7,2,0.68
2023-05-14,1,30.4,59,14.38,8,2,0.41
2023-05-15,1,31.9,59,23.72,2,2,1.67
2023-05-16,3,40.7,41,17.01,8,2,0.33
2023-05-17,1,33.6,39,18.17,2,0,3.39
2023-05-18,4,33.8,73,17.11,6,1,0.17
2023-05-19,0,37.5,40,15.6,7,2,1.84
2023-05-20,0,27.4,44,34.75,6,0,1.04
2023-05-21,1,24.1,45,29.99,3,2,3.06
2023-05-22,3,22.7,46,33.52,8,1,0.2
2023-05-23,3,16.2,55,14.66,8,0,1.7
2023-05-24,4,44.4,31,22.43,6,0,1.27
2023-05-25,1,22.3,79,14.24,3,1,0.98
2023-05-26,0,28.5,41,17.83,2,0,1.01
2023-05-27,3,28.1,80,16.49,7,1,1.92
2023-05-28,1,32.2,55,29.44,3,0,4.16
2023-05-29,3,35.7,52,19.62,7,0,0.14
2023-05-30,3,36.0,47,28.41,8,1,0.03
